TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1548252654.490599,0.727634,0.058954,-1.692638,0.594518,1,0.686822,9.554404,-6.555580,17.322312,1,0.202672,0.109454,0.039171,0.350071,1,0.390050,38.219093,14.005937,72.979073,1,0.440156,0.440156,0.000000,1.000000,1,0.186872,2.876129,1.939923,6.949788,1,0.290174,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252664.479953,0.747352,0.438805,-1.684154,0.598198,1,0.847038,19.009413,-6.440938,17.281413,1,0.248485,0.125423,0.039727,0.347257,1,0.734104,55.082123,14.264015,72.317781,1,0.554304,0.554304,0.000000,1.000000,1,0.374717,3.783187,1.950655,6.841093,1,0.300040,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252674.466029,0.792688,0.077834,-1.691564,0.622695,1,0.724319,10.613399,-6.519625,17.426886,1,0.216629,0.114368,0.040479,0.344652,1,0.553442,46.065559,14.843096,72.351749,1,0.505973,0.505973,0.000000,1.000000,1,0.221251,3.032671,1.950655,6.841093,1,0.318631,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252684.453709,0.726927,0.221381,-1.688279,0.632672,1,0.743959,11.257526,-6.404150,17.397983,1,0.231364,0.119231,0.040961,0.342143,1,0.434981,40.412758,15.063243,71.686340,1,0.481338,0.481338,0.000000,1.000000,1,0.627905,4.973739,1.969054,6.754306,1,0.325536,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252694.441972,0.816557,0.020383,-1.692345,0.652647,1,0.852820,16.336255,-6.332835,17.418576,1,0.203125,0.108878,0.041290,0.339527,1,0.634608,49.385971,15.385456,71.086807,1,0.582192,0.582192,0.000000,1.000000,1,0.390211,3.836313,1.969054,6.754306,1,0.379123,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252704.430841,0.778960,0.394338,-1.693490,0.669011,1,0.729857,10.096234,-6.394885,17.558459,1,0.285491,0.135643,0.042225,0.337364,1,0.473382,42.265415,15.830280,71.054740,1,0.478193,0.478193,0.000000,1.000000,1,0.247089,3.183601,2.034681,6.684504,1,0.377992,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252714.417221,0.794137,0.060778,-1.698321,0.689893,1,0.762060,10.913818,-6.310254,17.565770,1,0.205510,0.109806,0.042713,0.334985,1,0.446971,40.995804,16.149302,70.468482,1,0.464756,0.464756,0.000000,1.000000,1,0.129308,2.635940,2.034681,6.684504,1,0.311258,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252724.408623,0.791870,-0.110567,-1.703057,0.710557,1,0.896170,16.332470,-6.665518,17.932332,1,0.234639,0.119554,0.043277,0.332709,1,0.905755,68.386307,16.365029,70.976319,1,0.623900,0.623900,0.000000,1.000000,1,0.352058,3.611229,1.973100,6.626110,1,0.307594,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252734.395320,0.773221,-0.012397,-1.705641,0.728462,1,0.920288,21.676163,-6.913968,18.229599,1,0.233653,0.118888,0.043624,0.330412,1,0.782532,57.831345,16.833749,71.056428,1,0.560426,0.560426,0.000000,1.000000,1,0.232103,3.053078,1.973100,6.626110,1,0.280537,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252744.384720,0.741779,0.247215,-1.701143,0.736892,1,0.830900,13.948000,-7.366934,18.680960,1,0.251713,0.124388,0.044255,0.328316,1,0.514459,44.774769,17.310744,70.996459,1,0.430582,0.430582,0.000000,1.000000,1,0.188620,2.819937,1.949415,6.564631,1,0.238295,4,4,4,4,4,4,4,4,4,4,4,4,4,4
